source,row,col,filename,size,labeled
PPL_EU3.png,3,0,es_female_casual.webp,792,True
PPL_EU3.png,3,1,ru_male_traditional.webp,792,True
PPL_EU3.png,3,2,ru_female_traditional.webp,792,True
PPL_EU3.png,3,3,nl_male_farmer.webp,792,True
PPL_EU3.png,3,4,nl_female_traditional_3.webp,792,True
PPL_EU3.png,4,0,ua_male_traditional.webp,792,True
PPL_EU3.png,4,1,ua_female_traditional.webp,792,True
PPL_EU3.png,4,2,se_male_sweater.webp,792,True
PPL_EU3.png,4,3,se_female_traditional_2.webp,792,True
PPL_EU3.png,4,4,gr_female_ancient.webp,792,True
PPL_EU4.png,0,0,gb_male_guard_2.webp,792,True
PPL_EU4.png,0,1,gb_female_student.webp,792,True
PPL_EU4.png,0,2,fr_male_artist_2.webp,792,True
PPL_EU4.png,0,3,fr_female_trenchcoat_2.webp,792,True
PPL_EU4.png,0,4,de_male_lederhosen_2.webp,792,True
PPL_EU4.png,1,0,de_female_traditional_3.webp,792,True
PPL_EU4.png,1,1,it_male_coffee.webp,792,True
PPL_EU4.png,1,2,it_female_olive.webp,792,True
PPL_EU4.png,1,3,es_male_traditional_2.webp,792,True
PPL_EU4.png,1,4,es_female_flamenco_4.webp,792,True
PPL_EU4.png,2,0,pt_male_tiles.webp,792,True
PPL_EU4.png,2,1,pt_female_fish.webp,792,True
PPL_EU4.png,2,2,gr_male_evzones.webp,792,True
PPL_EU4.png,2,3,gr_female_ancient_2.webp,792,True
PPL_EU4.png,2,4,be_male_chocolate.webp,792,True
PPL_EU4.png,3,0,nl_male_tulip.webp,792,True
PPL_EU4.png,3,1,nl_female_traditional_4.webp,792,True
PPL_EU4.png,3,2,at_male_pretzel.webp,792,True
PPL_EU4.png,3,3,at_female_cake.webp,792,True
PPL_EU4.png,3,4,ch_male_edelweiss.webp,792,True
PPL_EU4.png,4,0,ch_female_fondue.webp,792,True
PPL_EU4.png,4,1,se_male_sweater_2.webp,792,True
PPL_EU4.png,4,2,se_female_lingonberries.webp,792,True
PPL_EU4.png,4,3,pl_male_pierogi.webp,792,True
PPL_EU4.png,4,4,pl_female_traditional_2.webp,792,True
PPL_LATAM1.png,0,0,mx_male_mariachi.webp,792,True
PPL_LATAM1.png,0,1,mx_female_traditional.webp,792,True
PPL_LATAM1.png,0,2,br_male_athlete.webp,792,True
PPL_LATAM1.png,0,3,br_male_casual.webp,792,True
PPL_LATAM1.png,0,4,py_female_professional.webp,792,True
PPL_LATAM1.png,1,0,br_female_aboriginal.webp,792,True
PPL_LATAM1.png,1,1,ar_male_gaucho.webp,792,True
PPL_LATAM1.png,1,2,ar_female_traditional.webp,792,True
PPL_LATAM1.png,1,3,co_male_traditional.webp,792,True
PPL_LATAM1.png,1,4,co_female_traditional.webp,792,True
PPL_LATAM1.png,2,0,co_male_farmer.webp,792,True
PPL_LATAM1.png,2,1,co_female_festive.webp,792,True
PPL_LATAM1.png,2,2,pe_male_andean.webp,792,True
PPL_LATAM1.png,2,3,pe_female_traditional.webp,792,True
PPL_LATAM1.png,2,4,cl_female_traditional.webp,792,True
PPL_LATAM1.png,3,0,pe_female_andean.webp,792,True
PPL_LATAM1.png,3,1,cl_male_huaso.webp,792,True
PPL_LATAM1.png,3,2,cl_female_professional.webp,792,True
PPL_LATAM1.png,3,3,br_male_casual_2.webp,792,True
PPL_LATAM1.png,3,4,cl_female_professional_2.webp,792,True
PPL_LATAM1.png,4,0,ve_male_doctor.webp,792,True
PPL_LATAM1.png,4,1,ve_female_traditional.webp,792,True
PPL_LATAM1.png,4,2,bo_male_traditional.webp,792,True
